OrderType,OrderItemName,Quantity,Price,ShipmentAddress,ZipCode
E,Lime,100,3.69,541-428 Nulla Avenue,4286
E,Lemon Bar,17,0.09,Ap #249-5876 Magna. Rd.,I9E 0JN
E,Fruit Punch,16,7.76,525-8975 Urna. Street,13965
E,Bubble Gum,185,5.77,473-8850 Tellus Street,657101
E,Green Onion,84,5.17,Ap #535-7695 Fringilla Street,70060
E,Fenugreek,17,4.39,Ap #133-7694 Eleifend Ave,239129
E,Coffee,94,8.41,593-1014 Cras St.,99-977
E,Cherry,140,4.42,Ap #781-1741 Sem. St.,130336
E,Grape,62,7.26,Ap #766-9767 Etiam Rd.,49-766
E,Egg Nog,117,4.59,6213 Tincidunt Road,489962
E,Coconut,172,5.20,Ap #795-7837 Imperdiet Rd.,123599
E,Blueberry,114,1.13,"P.O. Box 623, 6126 Enim Av.",9383
E,Egg Nog,132,1.14,"Ap #304-433 Eget, St.",32094
E,Plum,163,2.76,"P.O. Box 132, 2889 Et Rd.",24-490
E,Spice,29,9.01,861-4443 Suspendisse Street,00222
E,Elderberry,185,0.04,"P.O. Box 991, 442 Dignissim Avenue",40001
E,Cream Soda,12,1.34,Ap #825-8923 Molestie Ave,70403
E,Vanilla Cream,191,8.42,"P.O. Box 315, 1873 Suscipit Av.",93027
E,Butter Toffee,197,4.00,"P.O. Box 303, 1597 Nunc Ave",HE1 0VV
E,Cotton Candy,111,2.08,3007 Donec Av.,119911
E,Pear,100,7.28,564-7769 Et Ave,Y5X 8G9
E,Mocha,78,6.47,7575 Natoque Rd.,7690
E,Bubble Gum,11,2.43,8768 Accumsan St.,11700
E,Cake Batter,170,1.90,"6532 Erat, Road",83567
E,Orange,82,6.14,196-8281 Sollicitudin Av.,5979
E,Kiwi,18,5.56,1175 Hendrerit Ave,04764
E,Tangerine,142,9.74,"8418 Vestibulum, St.",79323
E,Lemon Lime,115,9.03,Ap #343-959 Lobortis Street,66824
E,Blue Raspberry,122,3.91,989-1309 Neque Rd.,40411
E,Ginger Ale,58,5.24,2057 Posuere St.,983285
E,Kiwi,115,2.88,Ap #702-4963 Iaculis Road,8190
E,Pecan,156,0.28,Ap #668-7319 Tincidunt Road,2611
E,Tutti Frutti,155,8.85,353-4043 Etiam St.,77664
E,Mint,85,4.85,"986-1871 Consectetuer, Street",35501
E,Plum,102,3.93,"Ap #345-5596 Non, St.",0544 KI
